Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
Justin Verlander,NYM,SP,45.59000015258789,175,16.77751458328871,18.45352980628594,8.00702277726043,-5.27928907410586,37.958778092729226,21.52277268204318,60.48155077477241,8700
Sandy Alcantara,MIA,SP,30.969999313354492,228.2,9.489096588861388,5.566593822650417,10.2589179654961,-5.27928907410586,20.035319302901986,21.52277268204318,42.558091984945165,18684
Zac Gallen,ARI,SP,71.93000030517578,184,2.905624640934368,11.169657979124953,8.72353488260812,-5.27928907410586,17.519528428561586,21.52277268204318,40.04230111060477,19291
Julio Urias,LAD,SP,58.970001220703125,175,9.524129572988828,6.270638345174111,6.06220420560241,-5.27928907410586,16.577683049659502,21.52277268204318,39.10045573170268,14765
Max Scherzer,NYM,SP,46.13999938964844,145.1,5.923944943454914,9.063883363825433,6.77871631095011,-5.27928907410586,16.487255544124604,21.52277268204318,39.01002822616778,3137
Shane McClanahan,TBR,SP,42.40999984741211,166.1,2.5697417858276417,8.841728648357384,8.92825262699314,-5.27928907410586,15.060433987072347,21.52277268204318,37.583206669115526,21483
Alek Manoah,TOR,SP,67.72000122070312,196.2,8.94434999364292,3.5088944060434932,7.4952284162978,-5.27928907410586,14.669183741878355,21.52277268204318,37.19195642392154,26410
Emmanuel Clase,CLE,RP,25.790000915527344,72.2,9.666810456819755,11.227403059536801,-3.0477354195325,12.626240495649,30.47271859247306,5.097227315114666,36.56994590758772,21032
Shohei Ohtani,LAA,SP,9.65999984741211,166,6.169230115880952,1.3716187112232556,11.4872244318063,-5.27928907410586,13.748784184804707,21.52277268204318,36.27155686684789,19755
Tony Gonsolin,LAD,SP,175.5500030517578,130.1,7.2836064831458405,10.433287436226761,1.25133721255365,-5.27928907410586,13.688942057820388,21.52277268204318,36.211714739863574,19388
Nestor Cortes,NYY,SP,112.02999877929688,158.1,4.020233108026123,8.724571994024515,5.75512758902483,-5.27928907410586,13.220643616969621,21.52277268204318,35.74341629901281,17874
Cristian Javier,HOU,SP,58.900001525878906,148.2,2.233854779946568,5.984100078597201,8.92825262699314,-5.27928907410586,11.866918411431092,21.52277268204318,34.389691093474276,17606
Corbin Burnes,MIL,SP,15.210000038146973,202,-4.891346465449648,6.666042053547532,13.943837364427,-5.27928907410586,10.43924387841903,21.52277268204318,32.96201656046222,19361
Edwin Diaz,NYM,RP,22.170000076293945,62,8.705501031286486,6.204873401997824,1.14897834036111,10.0683076999697,26.127660473615162,5.097227315114666,32.22488778872983,14710
Clayton Kershaw,LAD,SP,124.0999984741211,126.1,5.288830689995451,5.607486558283564,3.09379691201913,-5.27928907410586,8.710825086192294,21.52277268204318,31.233597768235477,2036
Dylan Cease,CHW,SP,38.029998779296875,184,9.252336524946765,-7.899215612180518,12.3060954093465,-5.27928907410586,8.379927248006965,21.52277268204318,30.902699930050144,18525
Spencer Strider,ATL,SP,32.720001220703125,131.2,0.329446645037173,2.027305656497131,9.74712360453336,-4.42664480887943,7.6772310971882645,21.52277268204318,30.200003779231448,27498
Ryan Helsley,STL,RP,66.0999984741211,64.2,9.303955526443266,9.521173605928478,-1.30763459225953,5.80508637383763,23.32258091394984,5.097227315114666,29.419808229064497,18138
Max Fried,ATL,SP,67.69000244140625,185.1,4.111527090187416,1.1746117060206576,6.47163969437252,-5.27928907410586,6.478489416474745,21.52277268204318,29.001262098517927,13743
Triston McKenzie,CLE,SP,84.27999877929688,191.1,-5.136399538048819,7.6187703938721345,8.51881713822307,-5.27928907410586,5.72189891994053,21.52277268204318,28.24467160198371,18000
Carlos Rodon,NYY,SP,42.83000183105469,178,-3.259891877716653,-0.04171910655289204,13.3296841312719,-5.27928907410586,4.748784072896441,21.52277268204318,27.271556754939624,16137
Aaron Nola,PHI,SP,37.16999816894531,205,-11.328656032142728,7.23966673201417,13.1249663868868,-5.27928907410586,3.756688012652373,21.52277268204318,26.279460694695555,16149
Yu Darvish,SDP,SP,78,194.2,-7.919816575269679,7.717132707194828,9.23532924357074,-5.27928907410586,3.7533563013900517,21.52277268204318,26.276128983433235,13074
Jason Adam,TBR,RP,309.8299865722656,63.1,7.191382026289907,8.92240537014679,-3.25245316391755,7.08405277167726,19.945387004196405,5.097227315114666,26.042614319311074,11861
Evan Phillips,LAD,RP,258.8299865722656,63,9.884199305442905,8.867972649248527,-3.0477354195325,3.67347571077157,19.377912245930506,5.097227315114666,25.475139561045175,17734
A.J. Minter,ATL,RP,472.1400146484375,70,4.534990330225549,4.203266323963413,-1.30763459225953,11.3472740978093,18.777896159738795,5.097227315114666,24.875123474853456,18655
Tyler Anderson,LAA,SP,284.2099914550781,178.2,2.2345510794271717,2.185910067610909,3.19615578421166,-5.27928907410586,2.3373278571438862,21.52277268204318,24.860100539187073,12880
Jacob deGrom,TEX,SP,26.549999237060547,64.1,-2.5099972150034984,9.466740885030214,-0.488763614719316,-5.27928907410586,1.1886909812015483,21.52277268204318,23.71146366324473,10954
Devin Williams,MIL,RP,48.34000015258789,60.2,4.5891634675111845,0.4578514926763274,-1.10291684787448,12.1999183630358,16.144016475348824,5.097227315114666,22.241243790463486,15816
Shane Bieber,CLE,SP,56.380001068115234,200,-3.6220505086125434,-1.3086111064129742,9.33768811576325,-5.27928907410586,-0.8722625733680873,21.52277268204318,21.650510108675096,19427
Jeffrey Springs,TBR,SP,166.47999572753906,135.1,3.203693464765591,-3.2654539152024733,3.81030901736682,-5.27928907410586,-1.5307405071759153,21.52277268204318,20.992032174867266,17677
Zack Wheeler,PHI,SP,54.06999969482422,153,-1.9004624378525952,-0.9375245844349187,5.75512758902483,-5.27928907410586,-2.3621485073685315,21.52277268204318,20.160624174674652,10310
Paul Sewald,SEA,RP,179.58999633789062,64,0.18282006414949814,8.882617231040133,-3.55952978049513,6.65773063906405,12.16363815375855,5.097227315114666,18.260865468873213,13892
Matt Bush,MIL,SP/RP,588,59.2,-4.749592943232602,-0.08648402220709768,-3.35481203611008,3.67347571077157,-4.517413290778203,21.52277268204318,18.00535939126498,1246
Daniel Bard,COL,RP,125.5199966430664,60.1,5.468633456395625,0.9331076283946848,-3.86660639707271,9.21566343474328,11.750798122460912,5.097227315114666,17.848025437575576,7115
Jordan Romano,TOR,RP,45.16999816894531,64,3.8095125692994394,0.4075623015710364,-3.4571709083026,10.9209519651961,11.68085592776403,5.097227315114666,17.778083242878694,16122
Jhoan Duran,MIN,RP,123.33999633789062,67.2,5.586665338612638,1.6197433549260276,-1.81942895322217,5.80508637383763,11.192066114154123,5.097227315114666,17.28929342926879,21029
Gerrit Cole,NYY,SP,16.100000381469727,200.2,-16.26107007721842,0.9190180677508265,15.3768615751224,-5.27928907410586,-5.244479508451068,21.52277268204318,17.27829317359211,13125
