Name,Team,POS,ADP,PA,mAVG,mRBI,mSB,mOPS,mTB,PTS,aPOS,Dollars,PlayerId
"Aaron Judge","NYY","OF/DH",4.46999979019165,643.854,8.638544964189329,14.258238804075978,0.3936573256521499,21.690609037927235,14.561276431674177,59.54232656351886,26.148260121145565,86.69058668466442,"15640"
"Yordan Alvarez","HOU","OF/DH",10.699999809265137,609.254,9.565118999139475,14.136768183018798,-5.595759769105884,19.08302019713194,12.804193862941405,49.99334147312573,26.148260121145565,77.1416015942713,"19556"
"Kyle Tucker","HOU","OF",5.670000076293945,628.907,4.661091467136038,11.007076335695157,9.060497635424607,9.799763469756765,11.441006575100012,45.969435483112576,26.148260121145565,73.11769560425813,"18345"
"Vladimir Guerrero Jr.","TOR","1B/DH",12.170000076293945,655.992,11.483213502377115,13.009535897837688,-2.0451398177947118,15.026482199474106,14.317139520476594,51.7912313023708,15.822257523137262,68.61348882550806,"19611"
"Juan Soto","SDP","OF",9.800000190734863,661.253,6.634800258160414,7.385743332101872,-0.07474123027932568,19.568656331871043,6.9065796336413205,40.42103832549532,26.148260121145565,67.56929844664089,"20123"
"Freddie Freeman","LAD","1B",13.869999885559082,673.007,16.557219907427125,8.158253535996767,0.39481537171501707,14.572981079802126,10.815558950759986,50.49882884570101,15.822257523137262,67.32108636883827,"5361"
"Jose Ramirez","CLE","3B/DH",3.0299999713897705,648.724,2.0830516337131573,12.954958091984063,9.40404082284206,9.146879105659892,10.382159394262175,43.971089048461344,20.634430259276243,65.6055193077376,"13510"
"Julio Rodriguez","SEA","OF",4.099999904632568,626.203,6.314295057358682,3.1211656518349677,12.836670811354297,7.194332670012615,8.78807102730639,38.25453521786695,26.148260121145565,65.40279533901251,"23697"
"Trea Turner","PHI","SS",2.3299999237060547,661.935,12.66884596870905,3.144678266024253,14.090469637884762,3.0038164335573065,9.383252764447887,42.29106307062327,21.898122131812425,65.18918520243568,"16252"
"Ronald Acuna Jr.","ATL","OF/DH",2.130000114440918,624.279,2.9152635562927562,0.9738440187904889,17.395938881791132,8.624719657950383,5.799805975762422,35.70957209058719,26.148260121145565,62.85783221173274,"18401"
"Mike Trout","LAA","OF",21.6299991607666,603.241,1.763586328187444,10.209784657669758,-4.412252231104786,16.789211856498657,10.92850226527025,35.27883287652132,26.148260121145565,62.427092997666875,"10155"
