Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Jacob deGrom","TEX","SP",26.6299991607666,143.974,14.28174794145832,22.52562678296506,7.201293859944996,6.300782671746251,-5.299598940585266,45.00985231552935,14.821702419263355,60.83155473479271,"10954"
"Corbin Burnes","MIL","SP",15.229999542236328,189.009,11.778155023162517,13.314016142438224,10.638786875139141,8.71308055691148,-5.299598940585266,39.144439657066094,14.821702419263355,54.96614207632945,"19361"
"Gerrit Cole","NYY","SP",15.869999885559082,191.337,6.0878789445475485,14.734836317900408,11.561478069283837,8.948084833792704,-5.299598940585266,36.03267922493923,14.821702419263355,51.85438164420259,"13125"
"Carlos Rodon","NYY","SP",42.56999969482422,171.007,10.772748833315797,13.17544298711774,9.586690156007991,6.435401263424275,-5.299598940585266,34.67068429928054,14.821702419263355,50.49238671854389,"16137"
"Max Scherzer","NYM","SP",46.20000076293945,167.166,8.597886059861441,15.176007956873343,7.890562043500265,7.137744482200628,-5.299598940585266,33.50260160185041,14.821702419263355,49.32430402111377,"3137"
"Shohei Ohtani","LAA","SP",9.470000267028809,167.223,9.37488677063474,7.6422307331953565,8.489500371951431,6.807489673955645,-5.299598940585266,27.014508609151903,14.821702419263355,42.836211028415256,"19755"
"Shane McClanahan","TBR","SP",42.83000183105469,171.99,9.363574261009019,7.401629773188121,7.080042543206024,6.464788054558895,-5.299598940585266,25.0104356913768,14.821702419263355,40.832138110640145,"21483"
"Spencer Strider","ATL","SP",32.470001220703125,155.301,7.904199065307198,7.7948294934690585,8.894170555243248,5.032122254543727,-5.288182677260195,24.337138691303036,14.821702419263355,40.15884111056639,"27498"
"Justin Verlander","NYM","SP",45.900001525878906,163.282,4.388740872754369,11.683480306559384,5.9139804977268176,5.935148970212893,-5.299598940585266,22.6217517066682,14.821702419263355,38.44345412593155,"8700"
"Aaron Nola","PHI","SP",36.970001220703125,195.164,-1.1399071852293652,11.475683419151387,9.424566603720633,7.444541419682252,-5.299598940585266,21.905285316739644,14.821702419263355,37.726987736003,"16149"
"Shane Bieber","CLE","SP",56.630001068115234,189.267,3.906823532836791,6.12984502276728,7.202728179309392,9.266323483725232,-5.299598940585266,21.20612127805343,14.821702419263355,37.027823697316784,"19427"
"Kevin Gausman","TOR","SP",56.470001220703125,178.925,3.484616079334838,6.897190595733633,7.666448909521451,7.626111338028861,-5.299598940585266,20.374767982033514,14.821702419263355,36.196470401296864,"14107"
"Sandy Alcantara","MIA","SP",30.829999923706055,203.502,5.615548985934806,3.4489449565062946,6.687128498999064,9.551733750945555,-5.299598940585266,20.003757251800458,14.821702419263355,35.825459671063804,"18684"
"Brandon Woodruff","MIL","SP",34,173.805,2.505720921613642,7.391061287224756,7.661261601145311,7.234268816397705,-5.299598940585266,19.492713685796147,14.821702419263355,35.3144161050595,"16162"
"Edwin Diaz","NYM","RP",22.1299991607666,63.8112,10.91412488925813,7.395107813836947,-1.564022431820596,-4.870912627593077,10.25212972563278,22.126427369314186,11.798297580736588,34.92472495005077,"14710"
"Zack Wheeler","PHI","SP",54.630001068115234,181.937,3.0744977263326887,4.224585829425538,6.096699292175932,7.728679336524029,-5.299598940585266,15.824863243872919,14.821702419263355,31.646565663136276,"10310"
"Emmanuel Clase","CLE","RP",25.670000076293945,65.3331,11.388572118386412,6.456103388091607,-4.812908316933677,-4.870912627593077,10.370828987426115,18.531683549377384,11.798297580736588,31.329981130113968,"21032"
"Tyler Glasnow","TBR","SP",86.43000030517578,145.092,4.212672741128205,5.661545843722859,6.09006153200901,4.172002505235999,-5.299598940585266,14.836683681510804,14.821702419263355,30.658386100774155,"14374"
"Max Fried","ATL","SP",67.87000274658203,182.148,4.67376404858903,0.6440328240863565,4.564720084759481,8.315083258192324,-5.299598940585266,12.898001275041926,14.821702419263355,28.71970369430528,"13743"
