Name,Team,POS,ADP,PA,mAVG,mRBI,mSB,mOPS,mTB,PTS,aPOS,Dollars,PlayerId
"Aaron Judge","NYY","OF/DH",4.46999979019165,643.854,9.427686417776718,15.137319537782773,0.2859001888814721,21.36929515703206,14.699946854075886,60.920148155548894,23.989721382251837,85.90986953780074,"15640"
"Vladimir Guerrero Jr.","TOR","1B/DH",12.170000076293945,655.992,15.403416084332127,14.703415607443981,-2.0487281227951795,17.880999008864865,16.19970768442188,62.13881026226767,16.32155267650477,79.46036293877243,"19611"
"Ronald Acuna Jr.","ATL","OF/DH",2.130000114440918,624.279,6.553074584380259,6.302840274984667,17.58607044222537,12.651202071271216,9.175522590985329,52.26870996384684,23.989721382251837,77.25843134609867,"18401"
"Freddie Freeman","LAD","1B",13.869999885559082,673.007,16.781575327746165,10.261196900518666,0.14625729477878036,15.07664247866671,12.449962489458905,54.71563449116922,16.32155267650477,72.03718716767398,"5361"
"Yordan Alvarez","HOU","OF/DH",10.699999809265137,609.254,10.054432008855109,13.007491870422015,-5.860934350673075,16.863021523368857,11.679367388368805,45.74337844034171,23.989721382251837,70.73309982259354,"19556"
"Trea Turner","PHI","SS",2.3299999237060547,661.935,11.696193368342879,3.242146503922166,15.203608429537493,3.4879232102663376,9.907224010665976,43.53709552273485,23.811446917007224,68.34854243974208,"16252"
"Jose Ramirez","CLE","3B/DH",3.0299999713897705,648.724,3.1478047460746303,9.910178471489763,11.062775396640196,8.287158916949055,10.054762507918603,42.462680039072254,24.105316142200117,67.56799618127238,"13510"
"Juan Soto","SDP","OF",9.800000190734863,661.253,7.355699265450365,9.078710933548896,0.27479795796895856,17.75078481486599,7.748608522118972,42.20860149395318,23.989721382251837,67.19832287620501,"20123"
"Fernando Tatis Jr.","SDP","SS",17.829999923706055,499.484,7.518573194461503,6.7628830783838705,8.777057685303207,12.615824732618277,5.139381376889824,40.813720067656675,23.811446917007224,65.62516698466389,"19709"
"Shohei Ohtani","LAA","P/DH",9.470000267028809,604.855,5.219573499515668,8.22878881986639,9.460668332187712,13.590410519644612,10.161376828820032,46.660818000034425,16.32155267650477,63.98237067653919,"19755"
"Mike Trout","LAA","OF",21.6299991607666,603.241,2.135984873914215,12.094419547391055,-3.934078450604009,16.642004323718247,10.64548374534821,37.58381403976772,23.989721382251837,62.57353542201954,"10155"
"Mookie Betts","LAD","OF",11.569999694824219,642.222,6.112708736848502,8.351625173681567,2.625718175647083,9.900648390453698,9.86046207753118,36.85116255416203,23.989721382251837,61.84088393641386,"13611"
"Julio Rodriguez","SEA","OF",4.099999904632568,626.203,6.730690324175524,3.358511153435183,9.625860681411957,6.324377925892018,8.369588121057376,34.40902820597206,23.989721382251837,59.398749588223886,"23697"
"Kyle Tucker","HOU","OF",5.670000076293945,628.907,2.7247631586174874,7.932974028534923,7.024915017377892,6.918713544944135,9.475104453427289,34.076470202901724,23.989721382251837,59.06619158515357,"18345"
"Rafael Devers","BOS","3B",20.6299991607666,640.485,6.105038381906651,10.086947965263056,-3.4136928263449557,8.423812466313937,11.22526532163317,32.42737130877186,24.105316142200117,57.53268745097197,"17350"
"Austin Riley","ATL","3B",21.899999618530273,648.943,4.48075706124006,9.979745886577836,-5.606958897325713,7.80870765741599,10.728174685417095,27.390426393325267,24.105316142200117,52.49574253552539,"18360"
"Manny Machado","SDP","3B",15.399999618530273,650.271,2.5611967635595025,9.546264320098764,0.2480365272420774,4.557079709681156,8.558083373263868,25.47066069384537,24.105316142200117,50.57597683604549,"11493"
"Corey Seager","TEX","SS",66.69999694824219,616.035,7.119637994041491,7.208453107267347,-5.3670766032074635,7.885372766024524,7.5142067522393825,24.360594016365276,23.811446917007224,49.17204093337251,"13624"
"Bo Bichette","TOR","SS",13.869999885559082,652.141,7.592600531940948,3.55099667018225,5.607326600228523,-0.691795909330224,7.656312367295089,23.715440260316587,23.811446917007224,48.5268871773238,"19612"
"Paul Goldschmidt","STL","1B/DH",26.5,649.377,4.656134529109209,9.893811871925614,-2.0006546985013296,8.708359553845703,9.324865025606162,30.582516281985352,16.32155267650477,47.90406895849012,"9218"
"Bobby Witt Jr.","KCR","3B/SS",8.600000381469727,634.975,0.9458284408996765,2.825130315651857,13.006974264990328,-1.2497961476691235,7.175412734159226,22.703549608031963,23.811446917007224,47.51499652503919,"25764"
"Bryan Reynolds","PIT","OF",93.4000015258789,638.351,5.562665425303589,5.35103991094551,-1.3941978397538173,4.432621339564101,5.604092343259609,19.556221179318992,23.989721382251837,44.54594256157083,"19326"
"Kyle Schwarber","PHI","OF",58.369998931884766,610.174,-8.958719823480878,13.469428498869645,-3.1540094261909997,8.95351122984555,7.640516493343056,17.950726972386374,23.989721382251837,42.940448354638214,"16478"
"Jose Altuve","HOU","2B",42.56999969482422,629.345,4.396139548453043,3.1010020392521906,1.3750528652918463,3.2874621445428236,5.2804069658387425,17.440063563378644,23.53109697853172,41.97116054191037,"5417"
"Pete Alonso","NYM","1B/DH",20.030000686645508,654.091,-1.4061512320294407,13.628649455503604,-4.02505102428267,5.962516461169253,8.609744697752484,22.769708358113228,16.32155267650477,40.091261034618,"19251"
