Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Jacob deGrom","TEX","SP",26.6299991607666,143.974,17.197901098958564,23.943400431456027,8.825184028456803,4.607394731024494,-5.338784550913038,49.23509573898286,15.859805927991813,66.09490166697466,"10954"
"Carlos Rodon","NYY","SP",42.56999969482422,172.111,10.488664168365464,14.35884226556752,10.912007377666116,7.677891311584443,-5.338784550913038,38.0986205722705,15.859805927991813,54.95842650026232,"16137"
"Aaron Nola","PHI","SP",36.970001220703125,195.164,5.787583040243664,13.535457567380805,10.067106073663155,8.751824200720288,-5.338784550913038,32.80318633109487,15.859805927991813,49.66299225908669,"16149"
"Gerrit Cole","NYY","SP",15.869999885559082,191.337,3.4127512178853805,12.082157756510645,12.50516931129121,9.908351305701595,-5.338784550913038,32.56964504047579,15.859805927991813,49.42945096846761,"13125"
"Spencer Strider","ATL","SP",32.470001220703125,164.443,12.305329315355495,7.239738722661187,11.493761338041795,6.786245174350731,-5.338784550913038,32.48628999949617,15.859805927991813,49.346095927487994,"27498"
"Justin Verlander","NYM","SP",45.900001525878906,163.282,7.5136694645457345,14.804093393755803,7.428859047963704,6.042154641182138,-5.338784550913038,30.449991996534344,15.859805927991813,47.30979792452615,"8700"
"Corbin Burnes","MIL","SP",15.229999542236328,189.009,6.635855374749547,8.330339516817968,11.065208257713913,9.259236428582163,-5.338784550913038,29.95185502695055,15.859805927991813,46.81166095494236,"19361"
"Shohei Ohtani","LAA","SP",9.470000267028809,167.223,10.132939208788258,8.386780325095863,9.395421418897238,6.293736038831208,-5.338784550913038,28.87009244069952,15.859805927991813,45.72989836869134,"19755"
"Max Scherzer","NYM","SP",46.20000076293945,167.166,4.9681640563241185,13.453012514418656,8.770620180472998,6.410816830855342,-5.338784550913038,28.263829031158078,15.859805927991813,45.12363495914989,"3137"
"Tyler Glasnow","TBR","SP",86.43000030517578,157.789,6.105825153967511,7.735805814845065,9.231250357659178,7.19111481739539,-5.338784550913038,24.92521159295411,15.859805927991813,41.78501752094592,"14374"
"Sandy Alcantara","MIA","SP",30.829999923706055,203.502,6.392635718111896,5.320986521080648,7.019326820005856,9.416286935576887,-5.338784550913038,22.81045144386225,15.859805927991813,39.670257371854056,"18684"
"Luis Castillo","SEA","SP",60.529998779296875,192.441,6.113783656566244,-1.7917714141202714,8.767570189568183,10.184760671376807,-5.338784550913038,17.93555855247792,15.859805927991813,34.79536448046973,"15689"
"Shane McClanahan","TBR","SP",42.83000183105469,171.99,5.9041853241417215,3.31070127950652,7.9680664507227865,5.2764135991938,-5.338784550913038,17.12058210265179,15.859805927991813,33.980388030643596,"21483"
"Brandon Woodruff","MIL","SP",34,173.805,1.1000301408445186,4.964743931541009,8.399969628012428,6.837422780035376,-5.338784550913038,15.963381929520294,15.859805927991813,32.82318785751211,"16162"
"Edwin Diaz","NYM","RP",22.1299991607666,63.8112,7.606314987262564,6.928649269501799,-1.5330540000125945,-5.2899360697441855,12.95711922278016,20.669093409787745,10.760194072008058,32.429287481795804,"14710"
"Zack Wheeler","PHI","SP",54.630001068115234,181.937,4.563946300021337,2.5380389646000276,6.65015722569586,6.674344765073711,-5.338784550913038,15.087702704477898,15.859805927991813,31.94750863246971,"10310"
"Emmanuel Clase","CLE","RP",25.670000076293945,65.3331,10.616317236702317,7.591316707691893,-5.626512849319012,-5.2554388806163175,12.51197859271671,19.837660807175588,10.760194072008058,31.597854879183643,"21032"
"Julio Urias","LAD","SP",58.900001525878906,179.61,1.3015828887863654,9.075277371145374,5.185644560840382,4.392407367755232,-5.338784550913038,14.616127637614314,15.859805927991813,31.475933565606127,"14765"
"Max Fried","ATL","SP",67.87000274658203,182.148,3.4946620951153204,0.032066220759343254,5.152254499982952,7.073289462459764,-5.338784550913038,10.413487727404341,15.859805927991813,27.273293655396156,"13743"
"Shane Bieber","CLE","SP",56.630001068115234,189.267,-0.7709454599050364,0.2968309987781621,7.427089400834439,8.01336966363008,-5.338784550913038,9.627560052424604,15.859805927991813,26.487365980416413,"19427"
"Kevin Gausman","TOR","SP",56.470001220703125,178.925,-4.751878251652651,3.0233351606903582,8.659036181669743,7.5429439682126125,-5.338784550913038,9.134652508007024,15.859805927991813,25.994458435998833,"14107"
"Andres Munoz","SEA","RP",146.27000427246094,61.4489,9.462596144722179,6.033440827887049,-3.3906884738479484,-5.2899360697441855,7.1252036631034334,13.940616092120528,10.760194072008058,25.700810164128587,"20373"
"Cristian Javier","HOU","SP",59.630001068115234,169.078,-3.386661159679051,0.5997133626871142,9.494076392084192,5.94784169543301,-5.338784550913038,7.31618573961223,15.859805927991813,24.175991667604045,"17606"
"Josh Hader","SDP","RP",34.43000030517578,58.2558,4.35525312756894,4.518513335550593,-3.880804071128924,-5.2899360697441855,12.440351943012955,12.143378265259383,10.760194072008058,23.903572337267438,"14212"
"Clayton Kershaw","LAD","SP",124.0999984741211,124.93,3.2696742654883533,6.4011688955915735,1.3750707369444766,0.6003228189464749,-5.338784550913038,6.307452166057839,15.859805927991813,23.167258094049654,"2036"
"Alek Manoah","TOR","SP",67.33000183105469,186.491,-3.070462895957729,1.9147330546176338,5.730508310368396,6.881541337613447,-5.338784550913038,6.117535255728709,15.859805927991813,22.977341183720522,"26410"
"Ryan Helsley","STL","RP",65.97000122070312,69.1691,6.234750056908551,3.318387175259992,-3.10923221423028,-5.2899360697441855,9.61208025533625,10.76604920353033,10.760194072008058,22.526243275538384,"18138"
"Nestor Cortes","NYY","SP",111.43000030517578,162.6,-3.999502808283201,4.384020429572301,5.151677122025569,5.426571721832998,-5.338784550913038,5.623981914234627,15.859805927991813,22.48378784222644,"17874"
"Devin Williams","MIL","RP",47.900001525878906,61.4453,5.9616260869949835,1.1023779380035073,-3.2753702749502667,-5.2899360697441855,11.337050581822858,9.835748262126895,10.760194072008058,21.59594233413495,"15816"
"Raisel Iglesias","ATL","RP",53.5,63.5322,3.080427881819522,5.2706872803061025,-4.484650893430368,-5.2899360697441855,10.943229809894808,9.51975800884588,10.760194072008058,21.279952080853935,"17130"
"Zac Gallen","ARI","SP",71.80000305175781,174.61,-2.1093329565996797,-2.7774330272695,6.478206241133753,7.022040852100116,-5.338784550913038,3.274696558451651,15.859805927991813,20.134502486443463,"19291"
"Ryan Pressly","HOU","RP",53.33000183105469,57.838,3.35915395369903,2.7399920353623632,-5.23128132737904,-5.2899360697441855,12.180636287854743,7.75856487979291,10.760194072008058,19.51875895180097,"7005"
"George Kirby","SEA","SP",95.56999969482422,151.851,-2.447689978184227,2.0610618073025266,2.103106827946434,5.1584482072602516,-5.338784550913038,1.5361423134119465,15.859805927991813,18.39594824140376,"25436"
"Joe Musgrove","SDP","SP",76.7300033569336,183.19,-5.857289909534105,-1.511387343556545,6.027983546281064,8.128635891737462,-5.338784550913038,1.4491576340148387,15.859805927991813,18.308963562006653,"12970"
"Felix Bautista","BAL","RP",62.20000076293945,64.6703,4.748908675191157,0.3796313558845154,-3.569415494353403,-5.2899360697441855,10.153879175994733,6.423067642972818,10.760194072008058,18.183261714980876,"20666"
"Dylan Cease","CHW","SP",38.20000076293945,180.792,-5.143582216911751,-6.53531313183876,10.252542258653612,7.75496294159632,-5.338784550913038,0.989825300586385,15.859805927991813,17.8496312285782,"18525"
"Yu Darvish","SDP","SP",77.66999816894531,180.843,-10.566802827774818,1.0445834723127772,6.766867492634856,8.70644629633695,-5.338784550913038,0.612309882596728,15.859805927991813,17.47211581058854,"13074"
"Jhoan Duran","MIN","RP",122.16999816894531,65.3078,6.342179172269131,2.372276751978905,-3.9747641786369967,-5.2899360697441855,5.276331948192147,4.726087624059001,10.760194072008058,16.48628169606706,"21029"
"A.J. Minter","ATL","RP",468.3299865722656,63.4192,5.79830555171991,3.2926553719488214,-4.008698997228229,-5.2899360697441855,4.355238891822416,4.147564748518732,10.760194072008058,15.907758820526789,"18655"
"Framber Valdez","HOU","SP",81.33000183105469,192.78,4.6837247534204485,-15.970754159235723,6.811004286151022,8.41234690482551,-5.338784550913038,-1.4024627657517825,15.859805927991813,15.45734316224003,"17295"
"Pete Fairbanks","TBR","RP",190.97000122070312,57.141,3.8106567988171047,1.9400002679403752,-4.540442077326406,-5.253254350446168,7.327316698201436,3.2842773371863405,10.760194072008058,15.044471409194397,"17998"
"Kenley Jansen","BOS","RP",76.47000122070312,61.1717,0.2512159084149671,2.141196069969898,-4.725403638063764,-5.2899360697441855,10.387005037980924,2.764077308557841,10.760194072008058,14.5242713805659,"3096"
"Jordan Romano","TOR","RP",45.06999969482422,64.4493,0.5269391661659958,0.37693854373624697,-4.851458783553106,-5.2899360697441855,11.982594977181185,2.74507783378614,10.760194072008058,14.505271905794197,"16122"
"Giovanny Gallegos","STL","RP",301.07000732421875,65.7813,2.1798417249864395,5.037100489572986,-4.324367347337567,-5.2899360697441855,5.006362471806655,2.609001269284329,10.760194072008058,14.369195341292388,"14986"
"Paul Sewald","SEA","RP",180.89999389648438,61.7664,1.023291702438912,3.863116292923472,-4.337579353393429,-5.2899360697441855,7.347120643517673,2.6060132157424434,10.760194072008058,14.366207287750504,"13892"
"Triston McKenzie","CLE","SP",84.43000030517578,177.28,-9.485510770717289,-1.3735249132219185,6.753657933095764,6.94112214934952,-5.338784550913038,-2.5030401524069634,15.859805927991813,14.356765775584847,"18000"
"Luis Severino","NYY","SP",106,144.103,-2.3954909518716443,-3.322344703067968,3.566556073513174,4.787012890557754,-5.338784550913038,-2.703051241781723,15.859805927991813,14.156754686210089,"15890"
"David Bednar","PIT","RP",104.12999725341797,64.5042,2.1415002895626922,0.46127361168746844,-4.155187450768659,-5.2899360697441855,8.138984430123443,1.2966348108607604,10.760194072008058,13.056828882868821,"19569"
"Matt Brash","SEA","SP/RP",468.70001220703125,58.5615,4.145604767751839,-0.9671951611363522,-4.977920050826029,-4.957018108064846,2.7526621340407296,-4.00386641823466,15.859805927991813,12.855939509757155,"25756"
"Andrew Heaney","TEX","SP",212.6699981689453,134.729,-6.942224203225852,-0.5985290029419218,4.452399020132551,4.36526385838315,-5.338784550913038,-4.061874878565109,15.859805927991813,12.797931049426701,"15423"
"Joe Ryan","MIN","SP",139.47000122070312,161.502,-9.659492884633012,0.9573781917558555,4.535210350726255,5.066137198875798,-5.338784550913038,-4.439551694188142,15.859805927991813,12.42025423380367,"21390"
"Brusdar Graterol","LAD","RP",437.8299865722656,59.1829,5.006004383239159,2.2046294974797407,-7.179346808283807,-5.187657132928121,4.652702889163612,-0.5036671713294157,10.760194072008058,11.256526900678644,"20367"
"Taylor Rogers","SFG","RP",327.3299865722656,62.2831,2.156292117850859,0.7545510789222001,-4.754145317060914,-5.2899360697441855,6.412054069824525,-0.7211841202075153,10.760194072008058,11.039009951800542,"13449"
"Freddy Peralta","MIL","SP",143.3699951171875,133.092,-4.636451768045811,-3.2290016910970096,2.6641648874711956,3.9529268903506476,-5.338784550913038,-6.587146232234017,15.859805927991813,10.272659695757797,"18679"
"Drew Rasmussen","TBR","SP",172.1300048828125,156.181,-3.5456081632095193,-2.8418553878136836,2.1064928071541336,2.865577569255332,-5.338784550913038,-6.754177725526776,15.859805927991813,10.105628202465038,"25385"
"Jason Adam","TBR","RP",309.3999938964844,58.6998,1.5403483579445372,1.5136162087167517,-4.928725491643642,-5.2899360697441855,5.234310970778791,-1.930386023947748,10.760194072008058,9.829808048060311,"11861"
"Blake Snell","SDP","SP",116.12999725341797,149.245,-6.036747255278491,-9.54261400935708,7.202044109360846,6.247335469892616,-5.338784550913038,-7.468766236295151,15.859805927991813,9.391039691696662,"13543"
"Pablo Lopez","MIN","SP",161.60000610351562,168.037,-7.543520989248075,-5.541229402786382,4.440272452016345,6.260123214625494,-5.338784550913038,-7.7231392763056546,15.859805927991813,9.136666651686157,"17085"
"Alex Vesia","LAD","RP",546.2999877929688,58.6493,1.5401074096581204,0.7739733015404847,-4.4072814316355515,-5.2899360697441855,4.279088123842517,-3.1040486663386138,10.760194072008058,8.656145405669445,"25007"
"Nathan Eovaldi","TEX","SP",240.57000732421875,154.129,-10.294924640088118,-1.9147309230760354,2.4699375522256775,6.464073295635917,-5.338784550913038,-8.614429266215597,15.859805927991813,8.245376661776216,"9132"
"Robbie Ray","SEA","SP",97.7300033569336,182.08,-15.70978248527109,-6.061385222396946,9.019647860323284,8.88613348819313,-5.338784550913038,-9.204170910064661,15.859805927991813,7.655635017927152,"11486"
"A.J. Puk","OAK","RP",402.2699890136719,76.4184,1.33442631694889,-1.4883116053701257,-3.6428501416787706,-4.989393342974211,4.606007215229168,-4.180121557845052,10.760194072008058,7.580072514163006,"19343"
"Jeffrey Springs","TBR","SP",166.39999389648438,137.972,-6.6090320386026296,-2.8630784074320155,2.3691932537183624,3.1469547967406672,-5.338784550913038,-9.294746946488653,15.859805927991813,7.565058981503159,"17677"
"Michael King","NYY","RP",608.27001953125,56.0729,3.539336934639536,1.9229878412739032,-5.836586273674552,-5.1456202388840975,1.3031399832027029,-4.216741753442507,10.760194072008058,7.54345231856555,"19853"
"Brock Burke","TEX","RP",576,68.3033,3.0277445599984816,0.32404053300421204,-4.682274809456249,-5.216306417548392,2.2129240321559562,-4.333872101845992,10.760194072008058,7.426321970162068,"17968"
"James Karinchak","CLE","RP",373.3999938964844,58.0831,2.1569493210903365,-0.6022546631260378,-3.958908303459901,-5.202018760692072,3.1158719606121594,-4.490360445575515,10.760194072008058,7.269833626432544,"20151"
"Jovani Moran","MIN","RP",728.5999755859375,55.7137,5.721777058420623,-0.023069230389556706,-4.879447750891124,-5.2899360697441855,-0.15231278139238813,-4.6229887739966316,10.760194072008058,7.137205298011428,"20422"
"Logan Gilbert","SEA","SP",110.62999725341797,175.075,-12.424365147514754,-5.349754551757028,4.855492015955526,8.454900401025382,-5.338784550913038,-9.802511833203914,15.859805927991813,7.057294094787897,"22250"
"Diego Castillo","SEA","RP",588.0999755859375,58.3798,1.5303996100411617,0.7628267753756641,-6.310653944212098,-5.2899360697441855,4.205903621456598,-5.101460007082861,10.760194072008058,6.6587340649251985,"17496"
"Evan Phillips","LAD","RP",257.20001220703125,61.1997,1.0900131201347152,-0.8060160982591004,-4.574034383570038,-5.2899360697441855,4.444759426072788,-5.13521400536582,10.760194072008058,6.624980066642237,"17734"
"Alexis Diaz","CIN","RP",128.8000030517578,65.3814,-1.8316006398254039,-2.033631124041158,-3.7123507900402806,-5.2899360697441855,7.731793232808053,-5.135725390842974,10.760194072008058,6.624468681165085,"21132"
"Robert Suarez","SDP","RP",448.42999267578125,62.428,1.7288215374032816,-0.6189858100779829,-4.835127468617317,-5.2899360697441855,3.7744850256707916,-5.240742785365413,10.760194072008058,6.519451286642646,"30115"
"John Schreiber","BOS","RP",530.5999755859375,63.1523,2.0032939077879774,-0.9951438768546187,-5.511007084135741,-5.2899360697441855,4.5404123836818835,-5.252380739264684,10.760194072008058,6.507813332743375,"20020"
"Charlie Morton","ATL","SP",162.1699981689453,168.711,-9.856076080749377,-10.044391500901446,7.3993442696676865,7.176536176970763,-5.338784550913038,-10.663371685925412,15.859805927991813,6.1964342420664,"4676"
"Grayson Rodriguez","BAL","SP",999,113.213,-2.4481417778190364,-3.385876733983273,0.035732471541655014,0.40839077226837806,-5.338784550913038,-10.728679818905313,15.859805927991813,6.131126109086498,"sa3008130"
"Dustin May","LAD","SP",154.39999389648438,123.193,-2.6721516689295055,-4.26251543068583,0.1572101841570037,0.9911433981009056,-5.0407675245580315,-10.82708104191546,15.859805927991813,6.0327248860763545,"19716"
"Chris Sale","BOS","SP",161.22999572753906,131.104,-6.8294035314264665,-4.622022432126854,2.6515604330795277,3.2513010975381738,-5.338784550913038,-10.887348983848657,15.859805927991813,5.972456944143155,"10603"
"Zach Eflin","TBR","SP",295.2699890136719,141.008,-7.653883719186174,-2.52934143331108,-0.5682521712044192,5.1968400405641,-5.338784550913038,-10.893421834050612,15.859805927991813,5.9663840939412,"13774"
"Jose Alvarado","PHI","RP",489.3699951171875,55.1392,5.197242087702499,-3.8730699371126875,-4.8297231130755485,-5.2899360697441855,2.6568078461876983,-6.138679186042226,10.760194072008058,5.621514885965832,"17780"
"Erik Swanson","TOR","RP",512.2000122070312,61.6836,-1.929896595691518,1.9675956678901532,-5.114813265600132,-4.9975468923970805,3.6687286453202104,-6.405932440478365,10.760194072008058,5.354261631529692,"16587"
"Chris Martin","BOS","RP",570,56.7188,0.4629138257084897,2.55570905960943,-6.057970760556777,-5.2899360697441855,1.8581082386834558,-6.471175706299586,10.760194072008058,5.289018365708473,"11847"
"Aaron Bummer","CHW","RP",649.22998046875,52.0432,5.049761730929552,-1.2474918878054624,-7.001282793822635,-5.2899360697441855,1.9087245794396779,-6.580224441003054,10.760194072008058,5.179969631005004,"16258"
