Name,Team,PlayerId
Jacob deGrom,TEX,10954
Corbin Burnes,MIL,19361
Carlos Rodón,NYY,16137
Gerrit Cole,NYY,13125
Shohei Ohtani,LAA,19755
Max Scherzer,NYM,3137
Aaron Nola,PHI,16149
Shane McClanahan,TBR,21483
Justin Verlander,NYM,8700
Sandy Alcantara,MIA,18684
Zack Wheeler,PHI,10310
Spencer Strider,ATL,27498
Framber Valdez,HOU,17295
Shane Bieber,CLE,19427
Nick Lodolo,CIN,26378
Kevin Gausman,TOR,14107
Brandon Woodruff,MIL,16162
Luis Castillo,SEA,15689
Tyler Glasnow,TBR,14374
Clayton Kershaw,LAD,2036
Dylan Cease,CHW,18525
Max Fried,ATL,13743
Hunter Greene,CIN,22182
Blake Snell,SDP,13543
Joe Musgrove,SDP,12970
Alex Cobb,SFG,6562
Brady Singer,KCR,25377
Zac Gallen,ARI,19291
Logan Webb,SFG,17995
Chris Sale,BOS,10603
Yu Darvish,SDP,13074
Lance Lynn,CHW,2520
Julio Urías,LAD,14765
Alek Manoah,TOR,26410
Charlie Morton,ATL,4676
Patrick Sandoval,LAA,19447
Pablo López,MIN,17085
Jordan Montgomery,STL,16511
Andrew Heaney,TEX,15423
Robbie Ray,SEA,11486
Jon Gray,TEX,14916
Kyle Wright,ATL,19665
Cristian Javier,HOU,17606
Marcus Stroman,CHC,13431
George Kirby,SEA,25436
Luis Severino,NYY,15890
Nathan Eovaldi,TEX,9132
Kodai Senga,NYM,31838
Chris Bassitt,TOR,12304
Germán Márquez,COL,15038
Ranger Suárez,PHI,17277
Drew Rasmussen,TBR,25385
Nestor Cortes,NYY,17874
Triston McKenzie,CLE,18000
Dustin May,LAD,19716
Logan Gilbert,SEA,22250
Eduardo Rodriguez,DET,13164
Sonny Gray,MIN,12768
Merrill Kelly,ARI,11156
Miles Mikolas,STL,9803
Joe Ryan,MIN,21390
José Berríos,TOR,14168
Lucas Giolito,CHW,15474
Jameson Taillon,CHC,11674
Garrett Whitlock,BOS,20191
Aaron Ashby,MIL,23550
José Quintana,NYM,11423
Sean Manaea,SFG,15873
Roansy Contreras,PIT,22810
Reid Detmers,LAA,27468
Luis Garcia,HOU,23735
Freddy Peralta,MIL,18679
Frankie Montas,NYY,14309
Jesús Luzardo,MIA,19959
Justin Steele,CHC,17312
Lance McCullers Jr.,HOU,14120
Grayson Rodriguez,BAL,sa3008130
Tyler Mahle,MIN,16358
Alex Wood,SFG,13781
Martín Pérez,TEX,6902
Jeffrey Springs,TBR,17677
JT Brubaker,PIT,17578
Tyler Anderson,LAA,12880
Graham Ashcraft,CIN,27552
Brayan Bello,BOS,23920
Trevor Rogers,MIA,22286
Spencer Turnbull,DET,16207
Carlos Carrasco,NYM,6632
Mitch Keller,PIT,17594
Corey Kluber,BOS,2429
Patrick Corbin,WSN,9323
Michael Wacha,,14078
Steven Matz,STL,13361
Kenta Maeda,MIN,18498
Taijuan Walker,PHI,11836
Aaron Civale,CLE,19479
Nick Pivetta,BOS,15454
Zach Eflin,TBR,13774
Tony Gonsolin,LAD,19388
James Paxton,BOS,11828
Matthew Boyd,DET,15440
Ken Waldichuk,OAK,27681
Edward Cabrera,MIA,21690
Ross Stripling,SFG,13273
Edwin Díaz,NYM,14710
Kyle Gibson,BAL,10123
Hunter Brown,HOU,25880
Eric Lauer,MIL,19316
Kyle Bradish,BAL,24586
Kyle Freeland,COL,16256
Andrés Muñoz,SEA,20373
Paul Blackburn,OAK,14739
Adam Wainwright,STL,2233
MacKenzie Gore,WSN,22201
Mike Clevinger,CHW,12808
José Suarez,LAA,19911
Luis Ortiz,PIT,27646
Jhoan Duran,MIN,21029
Drew Smyly,CHC,11760
Jack Flaherty,STL,17479
Josiah Gray,WSN,24580
Noah Syndergaard,LAD,11762
Nick Martinez,SDP,12730
Emmanuel Clase,CLE,21032
Yusei Kikuchi,TOR,20633
Rich Hill,PIT,4806
Cal Quantrill,CLE,19312
Kyle Muller,OAK,20167
Josh Hader,SDP,14212
Braxton Garrett,MIA,21844
Adrian Morejon,SDP,20039
Cade Cavalli,WSN,27473
José Urquidy,HOU,18413
Matt Manning,DET,20369
Tarik Skubal,DET,22267
Antonio Senzatela,COL,15488
Zack Greinke,,1943
Michael Kopech,CHW,17282
Wade Miley,MIL,8779
Seth Lugo,SDP,12447
Mike Soroka,ATL,18383
Tylor Megill,NYM,21318
Michael Lorenzen,DET,14843
Stephen Strasburg,WSN,10131
Ryan Helsley,STL,18138
Bailey Ober,MIN,21224
Tanner Houck,BOS,19879
Johnny Cueto,MIA,6893
José Alvarado,PHI,17780
JP Sears,OAK,23429
Andrew Painter,PHI,sa3017880
Mike Minor,,10021
Luke Weaver,CIN,16918
David Peterson,NYM,20302
Jordan Lyles,KCR,7593
Pete Fairbanks,TBR,17998
Daniel Lynch,KCR,21537
Félix Bautista,BAL,20666
Bailey Falter,PHI,20070
Trevor Williams,WSN,16977
Brad Keller,KCR,15734
A.J. Minter,ATL,18655
Ryne Nelson,ARI,26253
Ryan Pressly,HOU,7005
Aaron Bummer,CHW,16258
Devin Williams,MIL,15816
DL Hall,BAL,22207
Dean Kremer,BAL,19350
Drey Jameson,ARI,26260
Liam Hendriks,CHW,3548
Gavin Stone,LAD,sa3014810
Evan Phillips,LAD,17734
Chris Martin,BOS,11847
Johan Oviedo,PIT,22487
Austin Gomber,COL,16561
Adbert Alzolay,CHC,17859
Taylor Rogers,SFG,13449
Luis García,SDP,6984
Domingo Germán,NYY,17149
Sixto Sánchez,MIA,19680
Kyle Hendricks,CHC,12049
Caleb Thielbar,MIN,10078
Raisel Iglesias,ATL,17130
Cole Irvin,BAL,19244
Zach Plesac,CLE,19979
Jordan Romano,TOR,16122
Cody Morris,CLE,25388
Michael King,NYY,19853
David Bednar,PIT,19569
Joe Kelly,CHW,9761
Bryan Abreu,HOU,16609
Ian Anderson,ATL,19951
Kris Bubic,KCR,21455
Clay Holmes,NYY,13649
Seranthony Domínguez,PHI,19249
Ryan Yarbrough,KCR,16502
Daniel Bard,COL,7115
Camilo Doval,SFG,21992
Brusdar Graterol,LAD,20367
Joe Jiménez,ATL,15761
Matt Bush,MIL,1246
Hunter Harvey,WSN,15507
Scott Barlow,KCR,14993
Sam Hentges,CLE,18548
Hayden Wesneski,CHC,27581
Michael Pineda,,5372
Collin McHugh,ATL,7531
Tyler Wells,BAL,20000
Alex Vesia,LAD,25007
Matthew Liberatore,STL,22294
Paul Sewald,SEA,13892
Jordan Hicks,STL,19618
Jake Odorizzi,TEX,6397
Giovanny Gallegos,STL,14986
A.J. Puk,OAK,19343
Garrett Cleavinger,TBR,17897
Marco Gonzales,SEA,15467
Reynaldo López,CHW,16400
Brock Burke,TEX,17968
Jalen Beeks,TBR,17192
James Karinchak,CLE,20151
Bryce Elder,ATL,27779
Danny Duffy,,3542
Aroldis Chapman,KCR,10233
Tanner Scott,MIA,17586
Zach Davies,ARI,13183
Anthony DeSclafani,SFG,13050
Tejay Antone,CIN,16233
Garrett Crochet,CHW,27463
Kyle Finnegan,WSN,15009
Matt Brash,SEA,25756
Dane Dunning,TEX,19409
Jason Adam,TBR,11861
Julian Merryweather,CHC,16703
Brandon Pfaadt,ARI,sa3014983
Dinelson Lamet,COL,17186
Craig Kimbrel,PHI,6655
Robert Suarez,SDP,30115
John Schreiber,BOS,20020
Madison Bumgarner,ARI,5524
José Ureña,COL,11589
Jakob Junis,SFG,13619
John Means,BAL,16269
Jonathan Loáisiga,NYY,19753
Mitch White,TOR,19225
Chase Silseth,LAA,30074
Cole Hamels,,4972
Erik Swanson,TOR,16587
Connor Overton,CIN,18376
Vince Velasquez,PIT,11189
Nate Pearson,TOR,20160
Ryan Feltner,COL,21446
Eury Pérez,MIA,sa3014807
Dylan Bundy,,12917
Trevor Stephan,CLE,19932
Rafael Montero,HOU,12760
Adam Ottavino,NYM,1247
Daniel Hudson,LAD,7146
Jovani Moran,MIN,20422
Gregory Soto,PHI,19677
Dylan Lee,ATL,19996
Jorge López,MIN,14527
Keegan Thompson,CHC,19795
Davis Martin,CHW,21448
Kyle Harrison,SFG,sa3014513
Clarke Schmidt,NYY,19899
Chris Archer,,6345
Elieser Hernandez,NYM,16933
Andrew Chafin,,12988
José Quijada,LAA,19200
Joe Mantiply,ARI,14857
Ryan Pepiot,LAD,26221
