Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Jacob deGrom","TEX","SP",26.549999237060547,172.268,23.247232295193605,28.569793501979404,11.632938881891633,9.05739662757271,-5.6090416211510945,66.89831968548624,14.737972710292768,82.63629239577902,"10954"
"Gerrit Cole","NYY","SP",16.100000381469727,197.475,9.908655896123758,18.200073610254854,13.06720058546299,10.070287243019937,-5.6090416211510945,45.637175713710455,14.737972710292768,61.37514842400322,"13125"
"Carlos Rodon","NYY","SP",42.83000183105469,180.526,10.539785890933706,16.584694433167662,11.494450759431622,8.441724374737655,-5.6090416211510945,41.45161383711954,14.737972710292768,57.18958654741232,"16137"
"Corbin Burnes","MIL","SP",15.210000038146973,196.938,11.195400482700972,12.527525380440592,11.995837616874459,10.11968337487809,-5.6090416211510945,40.229405233743016,14.737972710292768,55.96737794403579,"19361"
"Max Scherzer","NYM","SP",46.13999938964844,191.452,5.785721083805241,18.84804886705707,10.962451853957527,9.320161008818442,-5.6090416211510945,39.307341192487186,14.737972710292768,55.04531390277995,"3137"
"Shane McClanahan","TBR","SP",42.40999984741211,183.539,14.353308323322294,10.684611522586385,9.289660811182127,9.143745425181477,-5.6090416211510945,37.86228446112119,14.737972710292768,53.60025717141396,"21483"
"Shohei Ohtani","LAA","SP",9.65999984741211,173.356,9.756538000334512,11.035594150237259,9.629761154080299,7.948899148374594,-5.6090416211510945,32.761750831875574,14.737972710292768,48.49972354216834,"19755"
"Justin Verlander","NYM","SP",45.59000015258789,179.662,4.4308062300779225,15.644203083071968,8.119859803431595,8.227749727083143,-5.6090416211510945,30.81357722251354,14.737972710292768,46.55154993280631,"8700"
"Tyler Glasnow","TBR","SP",87.55000305175781,160.185,8.050391223420368,9.074522654899935,8.267241239579109,6.660952646953634,-5.6090416211510945,26.444066143701956,14.737972710292768,42.182038853994726,"14374"
"Spencer Strider","ATL","SP",32.720001220703125,153.921,10.044562867289796,7.093419054052939,8.694836262966414,6.112053671540028,-5.6090416211510945,26.33583023469809,14.737972710292768,42.07380294499087,"27498"
"Aaron Nola","PHI","SP",37.16999816894531,198.749,0.8506687114238606,9.623477159618442,9.684838376992587,9.43200458416045,-5.6090416211510945,23.981947211044243,14.737972710292768,39.71991992133701,"16149"
"Kevin Gausman","TOR","SP",56.720001220703125,180.696,1.9444980893955721,10.929930867936115,7.419926823062518,7.668531850373104,-5.6090416211510945,22.353846009616213,14.737972710292768,38.09181871990898,"14107"
"Edwin Diaz","NYM","RP",22.170000076293945,64,10.600956366330335,9.260754738119976,-2.896246110165041,-5.753388976757579,12.567244416718317,23.779320434246006,11.882027289707361,36.66134772395337,"14710"
"Shane Bieber","CLE","SP",56.380001068115234,202.796,1.3251754017871766,3.528009828278022,8.830202837214816,9.97043269689808,-5.6090416211510945,18.044779143027,14.737972710292768,33.782751853319766,"19427"
"Brandon Woodruff","MIL","SP",34.40999984741211,172.877,1.3318254461860943,6.406067822560546,7.545535705069526,7.122592503732459,-5.6090416211510945,16.796979856397535,14.737972710292768,32.5349525666903,"16162"
"Luis Castillo","SEA","SP",60.619998931884766,194.522,5.383571658431316,-1.3525561211515758,8.395692785396372,9.31598713626039,-5.6090416211510945,16.133653837785406,14.737972710292768,31.87162654807818,"15689"
"Zack Wheeler","PHI","SP",54.06999969482422,189.367,2.1845979746234927,3.785747449152254,6.696693132505771,8.751457847522591,-5.6090416211510945,15.809454782653013,14.737972710292768,31.547427492945786,"10310"
"Josh Hader","SDP","RP",34.900001525878906,66,6.312460752076326,5.754524931976445,-3.1312918407066026,-5.753388976757579,11.861785357092208,15.044090223680795,11.882027289707361,27.926117513388157,"14212"
"Andres Munoz","SEA","RP",146.33999633789062,65,11.172949935270196,8.243279812843854,-3.3213295430372596,-5.753388976757579,4.55085173853996,14.892362966859173,11.882027289707361,27.774390256566534,"20373"
"Emmanuel Clase","CLE","RP",25.790000915527344,70,8.175584949067643,3.6796667695504275,-5.073631180998806,-5.753388976757579,13.24787165753353,14.276103218395214,11.882027289707361,27.158130508102577,"21032"
"Clayton Kershaw","LAD","SP",124.0999984741211,172.158,0.10546382231288738,3.40735605819001,5.749241275972167,6.922046900275653,-5.6090416211510945,10.575066435599622,14.737972710292768,26.313039145892393,"2036"
"Blake Snell","SDP","SP",115.69000244140625,160.183,2.8754902052520075,-0.14564704422410346,7.28901587562399,5.718324631652357,-5.6090416211510945,10.128142047153158,14.737972710292768,25.866114757445928,"13543"
"Sandy Alcantara","MIA","SP",30.969999313354492,210.615,-1.0782555188883058,-2.3700736442554664,7.864752335925061,10.733229615650808,-5.6090416211510945,9.540611167281003,14.737972710292768,25.278583877573766,"18684"
"Chris Sale","BOS","SP",161.4499969482422,146.602,1.1255685035851557,3.964695945607184,4.820365403832599,4.819630098427551,-5.6090416211510945,9.121218330301396,14.737972710292768,24.859191040594165,"10603"
"Framber Valdez","HOU","SP",80.83000183105469,195.519,8.355868464936352,-12.395291168633078,6.222764156823952,10.030451652811749,-5.6090416211510945,6.60475148478788,14.737972710292768,22.34272419508065,"17295"
"Andrew Heaney","TEX","SP",212.66000366210938,139.753,-1.1138634800063203,5.612656668657736,3.7693528420279803,3.7550661013059075,-5.6090416211510945,6.414170510834211,14.737972710292768,22.152143221126977,"15423"
"Jhoan Duran","MIN","RP",123.33999633789062,68,9.63738975265757,4.427680546275727,-3.774117939464673,-5.753388976757579,4.658251013446404,9.19581439615745,11.882027289707361,22.077841685864815,"21029"
"Ryan Helsley","STL","RP",66.0999984741211,68,4.724732218777368,2.307738200313267,-4.139774531305298,-5.753388976757579,11.280384171916616,8.419691082944377,11.882027289707361,21.301718372651738,"18138"
"Pete Fairbanks","TBR","RP",191.3800048828125,65,6.016695254186249,3.5529828629891456,-4.518770278225713,-5.753388976757579,7.737470273091436,7.034989135283539,11.882027289707361,19.9170164249909,"17998"
"Robbie Ray","SEA","SP",97.02999877929688,191.03,-7.609429544872575,-0.6469587472908078,9.864764481145631,7.715120314837837,-5.6090416211510945,3.7144548826689916,14.737972710292768,19.452427592961758,"11486"
"Yu Darvish","SDP","SP",78,189.168,-10.888301818973583,4.789800042965521,7.408202261885282,7.57497429436917,-5.6090416211510945,3.275633159095297,14.737972710292768,19.01360586938807,"13074"
